stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
17025,17025,"PISCINE PLEIN AIR",,48.4662445734,7.47152282035,,,1,,,
743A,743A,"Piscine",,48.4661999,7.4713001,,,0,17025,,
743R,743R,"Piscine",,48.4661999,7.4718001,,,0,17025,,
17820,17820,"Rue de Mittelhausen",,48.7007991215,7.564900274,,,1,,,
178A,178A,"Rue de Mittelhausen",,48.7007999,7.5649001,,,0,17820,,
178R,178R,"Rue de Mittelhausen",,48.7007999,7.5649001,,,0,17820,,
17824,17824,"Villa Venitienne",,48.595046,7.7260043,,,1,,,
5737A,5737A,"Villa Venitienne",,48.5950999,7.726,,,0,17824,,
5737R,5737R,"Villa Venitienne",,48.5949999,7.726,,,0,17824,,
17825,17825,"Rue de l'Eglise",,48.6638008448,7.5998503929,,,1,,,
267A,267A,"Rue de l'Eglise",,48.6637999,7.5999001,,,0,17825,,
267R,267R,"Rue de l'Eglise",,48.6637999,7.5998,,,0,17825,,
17834,17834,"Wolfsthal",,48.60610037255,7.30779999265,,,1,,,
974A,974A,"Wolfsthal",,48.6060999,7.3079001,,,0,17834,,
974R,974R,"Wolfsthal",,48.6060999,7.3077,,,0,17834,,
17848,17848,"Poste",,48.4209000989,7.663499768,,,1,,,
792A,792A,"Poste",,48.4208999,7.6635,,,0,17848,,
792R,792R,"Poste",,48.4208999,7.6635,,,0,17848,,
17857,17857,"Route de Holtzheim",,48.5554592,7.6181685,,,1,,,
634A,634A,"Seigneurs (ancien Rte de Holtzheim)",,48.5554999,7.6186001,,,0,17857,,
634R,634R,"Seigneurs (ancien Rte de Holtzheim)",,48.5555999,7.6189,,,0,17857,,
17866,17866,"Lycée Henri Meck",,48.535700338,7.4911000208,,,1,,,
5114A,5114A,"Lycée Henri Meck",,48.5356999,7.4911001,,,0,17866,,
5114R,5114R,"Lycée Henri Meck",,48.5356999,7.4911001,,,0,17866,,
17903,17903,"Kronthal",,48.6218999955,7.4751998362,,,1,,,
5686R,5686R,"Kronthal",,48.6218999,7.4752001,,,0,17903,,
17904,17904,"Lycée Jules Verne",,48.73240050375,7.3732001446,,,1,,,
5612A,5612A,"Lycée Jules Verne",,48.7325999,7.3731,,,0,17904,,
5612R,5612R,"Lycée Jules Verne",,48.7321999,7.3733,,,0,17904,,
17916,17916,"Socrate",,48.7373841,7.70335,,,1,,,
5675A,5675A,"Socrate",,48.7371999,7.7034,,,0,17916,,
5675R,5675R,"Socrate",,48.7374999,7.7033,,,0,17916,,
17947,17947,"Mairie",,48.5604315,7.5861799,,,1,,,
640A,640A,"Mairie",,48.5602999,7.5862001,,,0,17947,,
640R,640R,"Mairie",,48.5604999,7.5861,,,0,17947,,
17955,17955,"Hôtel de ville",,48.7308233,7.7085802,,,1,,,
5019A,5019A,"Hôtel de ville",,48.7306999,7.7085001,,,0,17955,,
5019R,5019R,"Hôtel de ville",,48.7307999,7.7087,,,0,17955,,
18102,18102,"ZA Joffre",,48.5634503142,7.65120021935,,,1,,,
5757A,5757A,"ZA Joffre",,48.5632999,7.6511,,,0,18102,,
5757R,5757R,"ZA Joffre",,48.5635999,7.6513001,,,0,18102,,
18118,18118,"RouteDeSaverne",,48.68939981115,7.4976497931,,,1,,,
5756A,5756A,"RouteDeSaverne",,48.6895999,7.4977001,,,0,18118,,
5756R,5756R,"RouteDeSaverne",,48.6891999,7.4976001,,,0,18118,,
18310,18310,"Mairie",,48.6056139,7.6860455,,,1,,,
40A,40A,"Mairie",,48.6049999,7.687,,,0,18310,,
40R,40R,"Mairie",,48.6054999,7.6855001,,,0,18310,,
18313,18313,"Centre",,48.67220011795,7.484650008,,,1,,,
354A,354A,"Centre",,48.6722999,7.4846,,,0,18313,,
354R,354R,"Centre",,48.6720999,7.4847,,,0,18313,,
18314,18314,"Mairie",,48.719149346,7.46390027585,,,1,,,
5658A,5658A,"Mairie",,48.7190999,7.4640001,,,0,18314,,
5658R,5658R,"Mairie",,48.7191999,7.4638,,,0,18314,,
18315,18315,"Centre",,48.58364934055,7.4371996373,,,1,,,
552A,552A,"Centre",,48.5836999,7.4371,,,0,18315,,
552R,552R,"Centre",,48.5835999,7.4373,,,0,18315,,
18317,18317,"Hoerdt Mairie",,48.6985299,7.7844444,,,1,,,
5028A,5028A,"Mairie",,48.6982999,7.7838,,,0,18317,,
5028R,5028R,"Mairie",,48.6990999,7.7854001,,,0,18317,,
18319,18319,"Centre",,48.65885026115,7.51469997715,,,1,,,
98A,98A,"Centre",,48.6587999,7.5146001,,,0,18319,,
98R,98R,"Centre",,48.6588999,7.5148,,,0,18319,,
18322,18322,"Mairie",,48.41945037255,7.6097499213,,,1,,,
5669A,5669A,"Mairie",,48.4193999,7.6096001,,,0,18322,,
5669R,5669R,"Mairie",,48.4194999,7.6099,,,0,18322,,
18323,18323,"Mairie",,48.39624968105,7.58909993065,,,1,,,
5722A,5722A,"Mairie",,48.3963998,7.5893,,,0,18323,,
5722R,5722R,"Mairie",,48.3960999,7.5889001,,,0,18323,,
18325,18325,"Centre",,48.71174995825,7.5348503274,,,1,,,
176A,176A,"Centre",,48.7115999,7.5348001,,,0,18325,,
176R,176R,"Centre",,48.7118999,7.5349001,,,0,18325,,
18326,18326,"Mairie",,48.5795002588,7.6022497606,,,1,,,
555A,555A,"Mairie",,48.5793999,7.6019001,,,0,18326,,
555R,555R,"Mairie",,48.5795999,7.6026001,,,0,18326,,
18327,18327,"Mairie",,48.29059995415,7.6612499382,,,1,,,
780A,780A,"Mairie",,48.2905999,7.6614001,,,0,18327,,
780R,780R,"Mairie",,48.2905999,7.6611,,,0,18327,,
18328,18328,"Mairie",,48.6101004907,7.4966002284,,,1,,,
21A,21A,"Mairie",,48.6100999,7.4966001,,,0,18328,,
21R,21R,"Mairie",,48.6100999,7.4966001,,,0,18328,,
18329,18329,"Mairie",,48.72295001375,7.75575007575,,,1,,,
